name,clinical trial,accession number,smiles,categories,unii,cas number,kegg drug,pubchem compound,chemspider,bindingdb,rxnav,chebi,chembl,therapeutic targets database,pharmgkb,zinc
Isoleucine,phase 3 complete,DB00167 (NUTR00031),CC[C@H](C)[C@H](N)C(O)=O,"Amino Acids / Amino Acids, Branched-Chain / Amino Acids, Essential / Amino Acids, Peptides, and Proteins / Dietary Supplements / Supplements",04Y7590D77,73-32-5,D00065,6306.0,6067.0,18140.0,6033.0,58045.0,CHEMBL1233584,,PA164750430,ZINC000003581355
Aspartame,phase 3 complete,DB00168 (NUTR00046),COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,"Amino Acids, Peptides, and Proteins / Compounds used in a research, industrial, or household setting / Diet, Food, and Nutrition / Dietary Supplements / Dipeptides / Flavoring Agents / Food / Food Additives / Food and Beverages / Food Ingredients / OAT1/SLC22A6 inhibitors / OAT3/SLC22A8 Inhibitors / Oligopeptides / Peptides / Pharmaceutic Aids / Pharmaceutical Preparations / Physiological Phenomena / Supplements / Sweetening Agents",Z0H242BBR1,22839-47-0,D02381,134601.0,118630.0,50240005.0,1311524.0,2877.0,CHEMBL171679,,PA448493,ZINC000001532132
ATP,phase 4 complete,"DB00171 (NUTR00017, EXPT00007)",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,"Adenine Nucleotides / Adenosine Triphosphate / Carbohydrates / Dietary Supplements / Glycosides / Heterocyclic Compounds, Fused-Ring / Nucleic Acids, Nucleotides, and Nucleosides / Nucleotides / Purine Nucleotides / Purines / Ribonucleotides / Supplements",8L70Q75FXE,56-65-5,D08646,5957.0,5742.0,50366480.0,318.0,15422.0,CHEMBL14249,DNC000262,PA164743471,ZINC000004261765
Proline,phase 3 complete,DB00172 (NUTR00047),OC(=O)[C@@H]1CCCN1,"Acids, Acyclic / Amino Acids / Amino Acids, Cyclic / Amino Acids, Peptides, and Proteins / Dietary Supplements / Imines / Imino Acids / Supplements",9DLQ4CIU6V,147-85-3,D00035,145742.0,128566.0,50000100.0,8737.0,17203.0,CHEMBL54922,DAP000198,PA451125,ZINC000000895360
Remikiren,Not Available,DB00212 (APRD00163),CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,Agents Acting on the Renin-Angiotensin System / Antihypertensive Agents / Cardiovascular Agents / Enzyme Inhibitors / Protease Inhibitors / Renin-Inhibitors,LC7FBL96A4,126222-34-2,,6324659.0,4884377.0,50077669.0,,,CHEMBL31601,DAP001220,PA164774779,ZINC000004217406
Methyclothiazide,Not Available,DB00232 (APRD01104),CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,"Amides / Benzothiadiazines / Cardiovascular Agents / Diuretics / Drugs causing inadvertant photosensitivity / Heterocyclic Compounds, Fused-Ring / Hyperglycemia-Associated Agents / Hypotensive Agents / Increased Diuresis / Membrane Transport Modulators / Natriuretic Agents / Photosensitizing Agents / Sodium Chloride Symporter Inhibitors / Sulfonamides / Sulfones / Sulfur Compounds / Thiazides",L3H46UAC61,135-07-9,D00656,4121.0,3978.0,,6860.0,6847.0,CHEMBL1577,DAP000746,PA164748094,
Chlorotrianisene,phase 1 complete,DB00269 (APRD00715),COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1,"Antineoplastic Agents / Antineoplastic Agents, Hormonal / Benzene Derivatives / Benzylidene Compounds / Estrogens / Estrogens, Non-Steroidal / Genito Urinary System and Sex Hormones / Hormones / Hormones, Hormone Substitutes, and Hormone Antagonists / Natural and Semisynthetic Estrogens, Plain / Sex Hormones and Modulators of the Genital System / Stilbenes",6V5034L121,569-57-3,D00269,11289.0,10815.0,,2397.0,3641.0,CHEMBL1200761,DAP001012,PA164768822,ZINC000001530598
Ethoxzolamide,Not Available,"DB00311 (APRD00732, DB07727)",CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O,"Amides / Benzothiazoles / Carbonic Anhydrase Inhibitors / Cardiovascular Agents / Diuretics / Enzyme Inhibitors / Heterocyclic Compounds, Fused-Ring / Natriuretic Agents / OAT1/SLC22A6 inhibitors / Sulfonamides / Sulfones / Sulfur Compounds / Thiazoles",Z52H4811WX,452-35-7,D02441,3295.0,3179.0,10882.0,,101096.0,CHEMBL18,DAP000598,PA164754743,ZINC000000056721
Rauwolfia serpentina root,Not Available,"DB09363 (APRD00786, DB00386)",,"Alkaloids / Antiadrenergic Agents, Centrally Acting / Antihypertensive Agents / Heterocyclic Compounds, Fused-Ring / Indole Alkaloids / Indoles / Secologanin Tryptamine Alkaloids",H192N84N1G,8063-17-0,,,,,599.0,,,,,
Clomocycline,Not Available,DB00453 (APRD00343),[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(=O)NCO)=C(O)[C@H]2N(C)C)C(=O)C1=C(C(Cl)=CC=C1O)[C@@]3(C)O,Agents that produce neuromuscular block (indirect) / Anti-Bacterial Agents / Antibacterials for Systemic Use / Antiinfectives for Systemic Use / Naphthacenes / Tetracyclines,YP0241BU76,1181-54-0,D06885,54680675.0,21251443.0,,21272.0,59589.0,CHEMBL2106071,DAP000882,PA164771235,ZINC000004212626
Metharbital,Not Available,DB00463 (APRD00757),CCC1(CC)C(=O)NC(=O)N(C)C1=O,Anticholinergic Agents / Anticonvulsants / Barbiturates and Derivatives / Central Nervous System Depressants / Nervous System / Nicotinic Antagonists / Pyrimidines / Pyrimidinones,02OS7K758T,50-11-3,D01382,4099.0,3957.0,,6825.0,31827.0,CHEMBL450,DAP000675,PA164746525,ZINC000005508997
Picrotoxin,Not Available,DB00466 (APRD00269),[H][C@@]12OC(=O)[C@@]34OC3C[C@@](O)(C3[C@@H](C1OC3=O)C(C)=C)[C@@]24C.[H][C@@]12C[C@@]3(O)C4[C@@H](C(OC4=O)[C@@]4([H])OC(=O)[C@]1(O2)[C@@]34C)C(C)(C)O,"Antidotes / Central Nervous System Agents / Central Nervous System Stimulants / Compounds used in a research, industrial, or household setting / Convulsants / Cyclohexanes / Cycloparaffins / GABA Agents / GABA Antagonists / Lactones / Neurotransmitter Agents / Protective Agents / Stimulants",ZLT174DL7U,124-87-8,,31304.0,29044.0,,,,CHEMBL1908342,DAP000676,PA164777007,
Tridihexethyl,Not Available,DB00505 (APRD00286),CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1,"Agents producing tachycardia / Alimentary Tract and Metabolism / Amines / Ammonium Compounds / Anticholinergic Agents / Drugs for Functional Gastrointestinal Disorders / Muscarinic Antagonists / Nitrogen Compounds / Onium Compounds / Synthetic Anticholinergics, Quaternary Ammonium Compounds",7HE50A367X,60-49-1,,20299.0,19124.0,,38617.0,9701.0,CHEMBL1201354,DAP000836,PA164746229,
Bentiromide,Not Available,DB00522 (APRD00818),OC(=O)C1=CC=C(NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)C2=CC=CC=C2)C=C1,"Acids, Carbocyclic / Aminobenzoates / Benzene Derivatives / Benzoates / Compounds used in a research, industrial, or household setting / Diagnostic Agents / Indicators and Reagents / Laboratory Chemicals / Pancreatic Function Tests / Tests for Pancreatic Function",239IF5W61J,37106-97-1,D01346,6957673.0,5329364.0,50240073.0,18896.0,31263.0,CHEMBL1200368,,PA164750572,ZINC000000608204
Adinazolam,Not Available,DB00546 (APRD00724),CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,"Anti-Anxiety Agents / Antidepressive Agents / Benzazepines / Benzodiazepines and benzodiazepine derivatives / Central Nervous System Agents / Central Nervous System Depressants / Cytochrome P-450 CYP2C19 Substrates / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 Substrates / Heterocyclic Compounds, Fused-Ring / Nervous System / Psycholeptics / Psychotropic Drugs / Triazolobenzodiazepines",KN08449444,37115-32-5,D02770,37632.0,34519.0,82439.0,,251412.0,CHEMBL328250,DAP001251,PA164783813,ZINC000004214740
Cinalukast,Not Available,DB00587 (APRD00637),CCC(CC)(CC(=O)NC1=CC(\C=C\C2=NC(=CS2)C2CCC2)=CC=C1)C(O)=O,Sulfur Compounds,5E1O433QAI,128312-51-6,D02846,6436135.0,4940804.0,50064086.0,,126598.0,CHEMBL283754,DAP000976,PA164743057,ZINC000003803377
Furazolidone,phase 4 complete,DB00614 (APRD00988),[H]C(=NN1CCOC1=O)C1=CC=C(O1)[N+]([O-])=O,"Agents that produce hypertension / Agents that reduce seizure threshold / Anti-Infective Agents / Anti-Infective Agents, Local / Anti-Infective Agents, Urinary / Antidepressive Agents / Antiparasitic Agents / Antiprotozoals / Antitrichomonal Agents / Central Nervous System Depressants / Enzyme Inhibitors / Furans / Genito Urinary System and Sex Hormones / Gynecological Antiinfectives and Antiseptics / Monoamine Oxidase A Inhibitors for interaction with Monoamine Oxidase A substrates / Monoamine Oxidase Inhibitors / Nitro Compounds / Nitrofurans / Oxazoles / Oxazolidinones / Renal Agents / Serotonergic Drugs Shown to Increase Risk of Serotonin Syndrome",5J9CPU3RE0,67-45-8,D00830,3435.0,3317.0,,4601.0,5195.0,CHEMBL1374738,DAP000993,PA164746760,ZINC000250090469
Candoxatril,Not Available,DB00616 (APRD00027),COCCOC[C@H](CC1(CCCC1)C(=O)N[C@H]1CC[C@H](CC1)C(O)=O)C(=O)OC1=CC2=C(CCC2)C=C1,"Acids, Acyclic / Antihypertensive Agents / Cardiovascular Agents / Enzyme Inhibitors / Fatty Acids / Fatty Acids, Volatile / Indenes / Lipids / Neprilysin, antagonists & inhibitors / Prodrugs / Protease Inhibitors",ACP75508EE,123122-55-4,D01070,5362417.0,16736409.0,50084625.0,,3353.0,CHEMBL35084,DAP001145,PA164764517,
Mometasone,phase 4 complete,DB00764 (APRD00289),[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,"Adrenal Cortex Hormones / Adrenals / Anti-Allergic Agents / Anti-Inflammatory Agents / Corticosteroid Hormone Receptor Agonists / Corticosteroids / Corticosteroids, Dermatological Preparations / Corticosteroids, Potent (Group III) / Cytochrome P-450 CYP2C8 Inhibitors / Cytochrome P-450 CYP2C8 Inhibitors (strength unknown) / Cytochrome P-450 CYP3A Inducers / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Inducers / Cytochrome P-450 CYP3A4 Inducers (strength unknown) / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 CYP3A5 Inducers / Cytochrome P-450 CYP3A5 Inducers (strength unknown) / Cytochrome P-450 Enzyme Inducers / Cytochrome P-450 Enzyme Inhibitors / Cytochrome P-450 Substrates / Dermatologicals / Drugs for Obstructive Airway Diseases / Fused-Ring Compounds / Glucocorticoids / Hyperglycemia-Associated Agents / Immunosuppressive Agents / Nasal Preparations / Pregnadienediols / Pregnadienes / Pregnanes / Steroids / Thyroxine-binding globulin inhibitors",8HR4QJ6DW8,105102-22-5,D08227,441335.0,390090.0,50237628.0,108118.0,6970.0,CHEMBL1201404,DAP001042,PA450541,ZINC000004097440
Benzquinamide,Not Available,DB00767 (APRD00820),CCN(CC)C(=O)C1CN2CCC3=CC(OC)=C(OC)C=C3C2CC1OC(C)=O,"Agents producing tachycardia / Anticholinergic Agents / Heterocyclic Compounds, Fused-Ring / Histamine Antagonists / Histamine H1 Antagonists / Muscarinic Antagonists / P-glycoprotein inhibitors",0475EA27Q3,63-12-7,D00243,2342.0,2252.0,,19041.0,27662.0,CHEMBL1201250,DAP000713,PA164749018,
Marimastat,Not Available,DB00786 (APRD00559),CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)[C@H](O)C(=O)NO)C(C)(C)C,"Amines / Enzyme Inhibitors / Hydroxy Acids / Hydroxylamines / Metalloendopeptidases, antagonists & inhibitors",D5EQV23TDS,154039-60-8,,119031.0,106358.0,50063917.0,,50662.0,CHEMBL279785,DCL000005,PA164748329,ZINC000001544157
Sodium lauryl sulfate,phase 3 complete,DB00815 (APRD01606),[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,"Acids / Acids, Noncarboxylic / Alcohols / Alkanes / Alkanesulfonates / Alkanesulfonic Acids / Compounds used in a research, industrial, or household setting / Dodecanol / Fatty Alcohols / Hydrocarbons, Acyclic / Lipids / Sulfones / Sulfonic Acids / Sulfur Acids / Sulfur Compounds / Surface-Active Agents",368GB5141J,151-21-3,D01045,3423265.0,8677.0,,9871.0,8984.0,CHEMBL23393,DAP001227,PA451398,
Progabide,Not Available,DB00837 (APRD00072),NC(=O)CCC\N=C(\C1=CC=C(Cl)C=C1)C1=C(O)C=CC(F)=C1,"Acids, Acyclic / Amino Acids / Amino Acids, Peptides, and Proteins / Aminobutyrates / Anti-Dyskinesia Agents / Anti-Parkinson Drugs / Anticonvulsants / Antidepressive Agents / Butyrates / Central Nervous System Agents / Central Nervous System Depressants / Fatty Acid Derivatives / Fatty Acids / Fatty Acids, Volatile / GABA Agents / GABA Agonists / Lipids / Nervous System / Neurotransmitter Agents / Psychotropic Drugs",112E50TORV,62666-20-0,D05621,5361323.0,10642379.0,,34568.0,,CHEMBL287631,DAP000258,PA164747990,ZINC000018153101
Drostanolone,Not Available,DB00858 (APRD00938),[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)[C@H](C)C[C@]12C,Androstanes / Fused-Ring Compounds / Steroids,7DR7H00HDT,58-19-5,,6011.0,5789.0,,23678.0,34838.0,CHEMBL1582,DAP000840,PA164760855,ZINC000003875387
Alprenolol,Not Available,DB00866 (APRD00736),CC(C)NCC(O)COC1=CC=CC=C1CC=C,"Adrenergic Agents / Adrenergic Antagonists / Adrenergic beta-Antagonists / Agents causing hyperkalemia / Alcohols / Amines / Amino Alcohols / Antiarrhythmic agents / Antidepressive Agents / Antihypertensive Agents / Autonomic Agents / Beta Blocking Agents, Non-Selective / Bradycardia-Causing Agents / Cardiovascular Agents / Central Nervous System Depressants / Cytochrome P-450 CYP2D6 Substrates / Cytochrome P-450 Substrates / Neurotransmitter Agents / Peripheral Nervous System Agents / Phenoxypropanolamines / Propanolamines / Propanols / Serotonin 5-HT1 Receptor Antagonists / Serotonin 5-HT1A Receptor Antagonists / Serotonin Agents / Serotonin Receptor Antagonists / Sympatholytics",877K5MQ27W,13655-52-2,D07156,2119.0,2035.0,25764.0,597.0,51211.0,CHEMBL266195,DAP000941,PA164750541,
Omapatrilat,Not Available,DB00886 (APRD00443),[H][C@]12CCC[C@H](N1C(=O)[C@H](CCS2)NC(=O)[C@@H](S)CC1=CC=CC=C1)C(O)=O,"Agents Acting on the Renin-Angiotensin System / Agents causing angioedema / Agents causing hyperkalemia / Agents that produce hypertension / Angiotensin-Converting Enzyme Inhibitors / Antihypertensive Agents / Azepines / Cardiovascular Agents / Enzyme Inhibitors / Metalloendopeptidases, antagonists & inhibitors / Protease Inhibitors / Sulfur Compounds / Thiepins / Vasopeptidase Inhibitors",36NLI90E7T,167305-00-2,D01970,656629.0,570983.0,50073120.0,,135660.0,CHEMBL289556,,,ZINC000003809801
Bitolterol,Not Available,DB00901 (APRD00827),CC1=CC=C(C=C1)C(=O)OC1=C(OC(=O)C2=CC=C(C)C=C2)C=C(C=C1)C(O)CNC(C)(C)C,"Adrenergic Agents / Adrenergic Agonists / Adrenergic beta-2 Receptor Agonists / Adrenergic beta-Agonists / Adrenergics, Inhalants / Agents producing tachycardia / Agents that produce hypertension / Alcohols / Amines / Amino Alcohols / Anti-Asthmatic Agents / Autonomic Agents / Bronchodilator Agents / Drugs for Obstructive Airway Diseases / Neurotransmitter Agents / Peripheral Nervous System Agents / Respiratory System Agents / Selective Beta 2-adrenergic Agonists",9KY0QXD6LI,30392-40-6,D07534,35330.0,32525.0,,19499.0,3133.0,CHEMBL1201295,,PA448644,
Etretinate,Not Available,DB00926 (APRD00966),CCOC(=O)C=C(C)C=CC=C(C)C=CC1=C(C)C(C)=C(OC)C=C1C,"Alkenes / Antipsoriatics / Antipsoriatics for Systemic Use / Biological Factors / Carotenoids / Cyclohexanes / Cyclohexenes / Cycloparaffins / Dermatologicals / Drugs causing inadvertant photosensitivity / Hydrocarbons, Acyclic / Keratolytic Agents / Photosensitizing Agents / Pigments, Biological / Polyenes / Retinoids / Retinoids for Treatment of Psoriasis / Terpenes",65M2UDR9AG,54350-48-0,D00316,3312.0,4445538.0,50248000.0,4182.0,4913.0,CHEMBL464,,PA449554,ZINC000003830820
Dirithromycin,phase 1 complete,DB00954 (APRD00931),CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,"Anti-Bacterial Agents / Anti-Infective Agents / Antibacterials for Systemic Use / Antiinfectives for Systemic Use / Cytochrome P-450 CYP3A Inhibitors / Cytochrome P-450 CYP3A4 Inhibitors / Cytochrome P-450 CYP3A4 Inhibitors (strength unknown) / Cytochrome P-450 Enzyme Inhibitors / Lactones / Macrolides / Macrolides, Lincosamides and Streptogramins / Polyketides",1801D76STL,62013-04-1,D03865,6473883.0,4976073.0,59397.0,23437.0,474014.0,CHEMBL1237072,DAP000888,PA449368,ZINC000096095661
Cerulenin,Not Available,DB01034 (APRD00703),[H][C@]1(O[C@]1([H])C(=O)CC\C=C\C\C=C\C)C(N)=O,Amides / Anti-Infective Agents / Antifungal Agents / Fatty Acid Synthesis Inhibitors / Hypolipidemic Agents / Lipid Regulating Agents / Noxae / Toxic Actions,MF286Y830Q,17397-89-6,,28517.0,4445281.0,50009248.0,,171741.0,CHEMBL45627,DAP000659,PA164764551,ZINC000004102315
Carphenazine,Not Available,DB01038 (APRD00848),CCC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,Dopamine Antagonists / Dopamine D2 Receptor Antagonists,CLY16Y8Z7E,2622-30-2,,18104.0,17100.0,,,51235.0,CHEMBL1201328,DAP000846,PA164750571,ZINC000022446644
Mimosine,Not Available,DB01055 (APRD00647),N[C@@H](CN1C=CC(=O)C(O)=C1)C(O)=O,"Alanine / Amino Acids / Amino Acids, Peptides, and Proteins / Pyridines / Pyridones",Z46B1LUI5N,500-44-7,,440473.0,389405.0,50198715.0,,29063.0,CHEMBL245416,DNC000947,PA164752445,ZINC000000902159
Mequitazine,Not Available,DB01071 (APRD00386),C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12,"Anti-Allergic Agents / Antihistamines for Systemic Use / Bronchodilator Agents / Cytochrome P-450 CYP2D6 Substrates / Cytochrome P-450 CYP3A Inhibitors / Cytochrome P-450 CYP3A4 Inhibitors / Cytochrome P-450 CYP3A4 Inhibitors (strength unknown) / Cytochrome P-450 Enzyme Inhibitors / Cytochrome P-450 Substrates / Heterocyclic Compounds, Fused-Ring / Histamine Agents / Histamine Antagonists / Histamine H1 Antagonists / Neurotransmitter Agents / Phenothiazine Derivatives / Potential QTc-Prolonging Agents / QTc Prolonging Agents / Sulfur Compounds",Y463242LY2,29216-28-2,D01324,4066.0,3926.0,,29528.0,31821.0,CHEMBL73451,DAP001078,PA164748010,
Hesperetin,Not Available,DB01094 (APRD00117),COC1=C(O)C=C(C=C1)[C@@H]1CC(=O)C2=C(O)C=C(O)C=C2O1,"BCRP/ABCG2 Inhibitors / Benzopyrans / Chromones / Cytochrome P-450 CYP1A2 Substrates / Cytochrome P-450 Substrates / Flavanones / Flavonoids / Heterocyclic Compounds, Fused-Ring / Pyrans",Q9Q3D557F1,520-33-2,,72281.0,65234.0,23418.0,1314255.0,28230.0,CHEMBL399121,DAP001306,PA164742902,ZINC000000039092
Quinacrine,Not Available,DB01103 (APRD00317),CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=C1C=CC(Cl)=C2,"Acridines / Aminoacridines / Anti-Infective Agents / Anticestodal Agents / Antimalarials / Antinematodal Agents / Antiparasitic Agents / Antiparasitic Products, Insecticides and Repellents / Antiplatyhelmintic Agents / Antiprotozoals / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 CYP3A5 Substrates / Cytochrome P-450 Substrates / Enzyme Inhibitors / Heterocyclic Compounds, Fused-Ring / OCT2 Inhibitors / P-glycoprotein inhibitors",H0C805XYDE,83-89-6,D08179,237.0,232.0,50015214.0,9061.0,8711.0,CHEMBL7568,DNC001181,PA164745551,
Desoxycorticosterone pivalate,Not Available,DB01134 (APRD00709),[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)COC(=O)C(C)(C)C,"Adrenal Cortex Hormones / Cytochrome P-450 CYP3A Substrates / Cytochrome P-450 CYP3A4 Substrates / Cytochrome P-450 Substrates / Fused-Ring Compounds / Hormones / Hormones, Hormone Substitutes, and Hormone Antagonists / Hydroxycorticosteroids / Pregnanes / Pregnenediones / Pregnenes / Steroids",16665T4A2X,808-48-0,,11876263.0,10050591.0,,22537.0,50782.0,CHEMBL1200592,DAP001106,PA449245,ZINC000004082455
Amdinocillin,phase 4 complete,DB01163 (APRD00789),[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1,"Amides / Anti-Bacterial Agents / Anti-Infective Agents / Anti-Infective Agents, Urinary / Antibacterials for Systemic Use / Antiinfectives for Systemic Use / Beta-Lactam Antibacterials / beta-Lactams / Heterocyclic Compounds, Fused-Ring / Lactams / Penicillins / Penicillins With Extended Spectrum / Renal Agents / Sulfur Compounds",V10579P3QZ,32887-01-7,D02888,36273.0,33357.0,,626.0,51208.0,CHEMBL530,DAP001176,PA164754807,ZINC000003830206
Ridogrel,Not Available,DB01207 (APRD00271),OC(=O)CCCCO\N=C(\C1=CN=CC=C1)C1=CC(=CC=C1)C(F)(F)F,"Acids, Acyclic / Antiplatelet agents / Enzyme Inhibitors / Fatty Acids / Fatty Acids, Volatile / Gastrointestinal Agents / Hematologic Agents / Lipids / Thromboxane-A Synthase, antagonists & inhibitors / Valerates",QTS5QOO42O,110140-89-1,,5362391.0,4515025.0,50003795.0,,135542.0,CHEMBL280728,DAP000469,PA164746413,ZINC000001536934
